日付,公開日,タイトル,URL,PV,スキ数,コメント数,文字数
2026-05-08,2026-05-03,女性のほうが運用がうまい?若年層のほうが儲けている?——JPX論文の読み方,https://note.com/take832/n/n2cd2cb338865,447,26,0,
2026-05-08,2026-04-26,「高金利通貨を買えば儲かる？」と顧客に聞かれたら？｜南アランドの10年検証,https://note.com/take832/n/n2807c9dd3129,444,14,0,
2026-05-08,2026-02-11,"日銀ETFの売却、実は財政にとって""救世主""：国債の半分を日銀が持っていることは、財政にとってプラス？(6)",https://note.com/take832/n/ne368a2fa270a,440,32,5,
2026-05-08,2026-03-03,オイルショックから半世紀。なぜ我々は再び『ホルムズ海峡』に注目するのか,https://note.com/take832/n/n10250518f9d6,436,11,0,
2026-05-08,2026-03-28,【解説動画】株で儲けたいなら、チャートはみるな！？,https://note.com/take832/n/n95691a2cd6aa,433,11,0,
2026-05-08,2026-05-02,【銀行員・証券マン必見】4/30の為替介入は5兆円規模、の計算方法,https://note.com/take832/n/n8c9e4011a8f5,431,11,0,
2026-05-08,2026-04-07,スタグフレーションの病を治したボルカーの大手術【米国の失敗に学ぶ】(2),https://note.com/take832/n/n973d29c2cc43,430,18,0,
2026-05-08,2026-04-01,【意外！】中東の混乱が長期化したら、日銀はどう対応するか？【主な意見・2026年3月より】,https://note.com/take832/n/n5d3a3bd52279,428,20,0,
2026-05-08,2026-03-30,自然利子率に関する日銀の悩み：【3月27日公表】日銀企画局の「自然利子率」最新推計から、今後の利上げを考える(2),https://note.com/take832/n/nde922c97c861,427,14,0,
2026-05-08,2026-01-28,実は、日本の財政状況は改善しているという話（1）― プライマリーバランス編,https://note.com/take832/n/n7d18a6cb8ce4,423,35,1,
2026-05-08,2026-03-05,【最終回】植田日銀の「緻密な地ならし」を読み解く：0.75%の先にある「日本経済の実力」｜データで追う日銀政策の軌跡 (9),https://note.com/take832/n/n94831d3a60b0,417,14,0,
2026-05-08,2026-03-01,2つの火種を抱えるブラジル株・インフレ編|トランプ政権「ドンロー主義」から考える株式投資(6),https://note.com/take832/n/n14973c9ae226,415,20,0,
2026-05-08,2026-04-08,1970年代、狂乱物価はなぜ起きた？ 日本のインフレ率が米国の2倍に達した背景【スタグフレーション】,https://note.com/take832/n/nd0566686e466,415,20,0,
2026-05-08,2026-03-14,「3つの原油防衛線」――石油備蓄254日の内実から読み解く、日本経済の「耐性」,https://note.com/take832/n/n071c66bf8f55,413,27,0,
2026-05-08,2026-04-18,【検証】「金利平価」は成り立っている？ 為替を動かすもう一つの力とキャリートレードについて,https://note.com/take832/n/n64af61fe42f3,411,24,0,
2026-05-08,2026-03-20,日銀はいつ、何%まで利上げするのか？――高田委員と田村委員の「反対票」から読み解く,https://note.com/take832/n/nc5b5aaec0981,405,14,0,
2026-05-08,2026-03-31,日銀は1.5%まで利上げか？：【3月27日公表】日銀企画局の「自然利子率」最新推計から、今後の利上げを考える(3),https://note.com/take832/n/n3fc55bfa09cc,405,10,0,
2026-05-08,2026-03-02,2つの火種を抱えるブラジル株・政治編|トランプ政権「ドンロー主義」から考える株式投資(7),https://note.com/take832/n/n6422b493a19e,400,17,0,
2026-05-08,2026-02-05,【意外!】市場は衆院選がどうなろうと、円安＆金利上昇を想定？,https://note.com/take832/n/nb31b71ccd638,399,53,0,
2026-05-08,2026-03-11,トランプ氏の終戦宣言で原油価格急落（120ドル→80ドル）の衝撃。原油価格は「急落」も、価格の再上昇につながり得る3つの材料,https://note.com/take832/n/nca2689e70d75,399,24,0,
2026-05-08,2026-02-25,日銀、今年7月以降は「利上げしにくく」なる？ 新審議委員人事から読み解く利上げの行方,https://note.com/take832/n/n1bd09b9bfc40,394,27,0,
2026-05-08,2026-03-15,"ホルムズ海峡は""200日超も封鎖？""--IEAの原油放出でも原油価格高止まりの意味",https://note.com/take832/n/n7dcb2ec68bac,391,23,0,
2026-05-08,2026-02-06,【寄稿文】「金利上昇は日銀要因でほぼ説明可能、財政は改善方向」,https://note.com/take832/n/n8413799b8019,388,32,0,
2026-05-08,2026-02-28,日銀総裁として、植田氏が選ばれた理由｜データで追う日銀政策の軌跡 (6),https://note.com/take832/n/n234c51adf69a,388,22,0,
2026-05-08,2026-05-01,【動画解説|銀行員・証券マン必見】「金利が上がると債券価格が下がる」理由は、「iPhoneと同じ？」,https://note.com/take832/n/n0c22cb9fb2bf,387,14,0,
2026-05-08,2026-03-03,植田総裁と大規模緩和の「手じまい」・YCC&国債買い入れ｜データで追う日銀政策の軌跡 (7),https://note.com/take832/n/n14591522443c,386,17,0,
2026-05-08,2026-03-04,マイナス金利解除に向けて～植田総裁と大規模緩和の「手じまい」｜データで追う日銀政策の軌跡 (8),https://note.com/take832/n/n28e2bbc8b6ca,385,17,0,
2026-05-08,2026-02-10,ETF配当金の威力：国債の半分を日銀が持っていることは、財政にとってプラス？(5),https://note.com/take832/n/n7ed82133d4e0,383,28,0,
2026-05-08,2026-05-07,【銀行員・証券マン必見】GW期間中、円高なのに日経平均は最高値更新の理由,https://note.com/take832/n/ne4a96bafa332,383,24,0,
2026-05-08,2026-02-08,今、日銀への国債利子は、国ではなく●●に渡されている：国債の半分を日銀が持っていることは、財政にとってプラス？(3),https://note.com/take832/n/nd9a01e269ea0,380,24,3,
2026-05-08,2026-02-10,【独自試算】10年後は今より「20円」も円安？ 理論値から考えるドル円の未来,https://note.com/take832/n/n78b440f1f0b3,380,17,0,
2026-05-08,2026-04-29,【4月日銀会合解説】利上げ票3票・ハト的記者会見・政治圧力——3つのねじれを顧客にどう説明するか,https://note.com/take832/n/n7759e5a45a14,373,25,0,
2026-05-08,2026-02-22,なぜラテンアメリカ株はS&P500を超えたのか？ トランプ政権「ドンロー主義」から考える株式投資(1),https://note.com/take832/n/na99e42154a8e,371,32,0,
2026-05-08,2026-02-15,日銀は「売ってない」のに、なぜ世の中のお金は減る？――プロも知らない「資金回収」のカラクリ：分かりやすい日銀政策(4),https://note.com/take832/n/na387e3272a41,366,15,0,
2026-05-08,2026-03-18,2026年3月、原油価格が急上昇した「もう一つの理由」――サイクルから読み解く原油の行方,https://note.com/take832/n/nf712b5dce4fb,362,19,0,
2026-05-08,2026-02-09,【衆院選アノマリー】2月中に日経平均は6万円へ？,https://note.com/take832/n/n375245a688ab,359,35,0,
2026-05-08,2026-03-12,イランの件がなければ、原油価格はどうなっていたか～需給から考える原油市場～,https://note.com/take832/n/n63afab972559,354,21,0,
2026-05-08,2025-12-10,【日銀調査】日本の10年金利はそろそろ天井？市場の織り込み、銀行株への示唆,https://note.com/take832/n/n9264aff05550,348,26,0,
2026-05-08,2026-02-12,2025年から日銀の「お金の供給」が減少。景気とインフレはどうなる？：分かりやすい日銀政策(1),https://note.com/take832/n/n6031c9bd84af,346,20,0,
2026-05-08,2026-02-16,日銀、利上げなら4兆円の赤字転落？それでも…｜日銀が倒産しない理由(1),https://note.com/take832/n/n489b13c4565e,344,18,1,
2026-05-08,2026-03-19,ドルを160円で買って、儲かるのか？～キャリートレードからの考察,https://note.com/take832/n/na86772c5049d,344,19,0,
2026-05-08,2026-02-14,日銀が「売却せずに」国債保有額を減らすカラクリ｜分かりやすい日銀政策(3),https://note.com/take832/n/n663419f2a81c,342,21,1,
2026-05-08,2026-02-23,2020年、コロナ禍で日銀が「国債買入れ」ではなく「新型コロナオペ」を選んだ理由｜データで追う日銀政策の軌跡 (4),https://note.com/take832/n/nc37e6932b151,340,18,0,
2026-05-08,2026-02-23,S&Pに圧勝。ラテンアメリカ株への投資法【投資信託編】 |トランプ政権「ドンロー主義」から考える株式投資(2),https://note.com/take832/n/n63316a98252e,335,14,0,
2026-05-08,2026-02-26,YCCと指値オペの歴史(2016～2024年)｜データで追う日銀政策の軌跡 (5),https://note.com/take832/n/nb6697d5735b0,334,22,3,
2026-05-08,2026-02-18,「日銀破綻」は本当に起きるのか？ 利上げによる赤字と倒産しない3つの理由を徹底解説｜日銀が倒産しない理由(3),https://note.com/take832/n/nc9ed7f9009d9,333,21,4,
2026-05-08,2026-02-14,【実データで独自検証】プロの株価予想は正答率何%？→これを踏まえた投資法,https://note.com/take832/n/nc63bf010932b,330,14,0,
2026-05-08,2026-02-19,【独自試算】私たちがGoogleに払ったドルを、外国人観光客が取り戻してくれている話,https://note.com/take832/n/n9f73bb90d8ba,329,16,0,
2026-05-08,2026-02-04,米10年金利とドル円の行方──QUICK調査をもとに分析する,https://note.com/take832/n/ndb2dce04911f,325,29,0,
2026-05-08,2026-02-21,なぜ日銀は国債の「爆買い」を止めたのか？ 限界を迎えた量的緩和とYCCの誕生｜データで追う日銀政策の軌跡 (2),https://note.com/take832/n/ndbd6d785431e,323,23,0,
2026-05-08,2026-02-24,S&Pに圧勝。ラテンアメリカ株への投資法【ETF編】 |トランプ政権「ドンロー主義」から考える株式投資(3),https://note.com/take832/n/nf9ea5bf3a36a,323,15,0,
2026-05-08,2026-02-01,実は、日本の財政状況は改善しているという話（３）― 債務残高・GDP比 編 ,https://note.com/take832/n/n0c1211aa4c44,322,28,0,
2026-05-08,2026-01-15,投資小説：全財産をS&P500に突っ込んだ僕が、やっと気づいたこと(1),https://note.com/take832/n/n2c628b109f38,318,37,0,
2026-05-08,2026-02-03,機関投資家アンケート:日本の10年金利はどこまで上昇するか,https://note.com/take832/n/ncd01e8a99a0b,314,19,0,
2026-05-08,2026-02-16,【独自算出】「株価強弱指数」が危険水域に。データが教える日本株の次の一手,https://note.com/take832/n/n34946a903441,314,6,0,
2026-05-08,2026-02-27,ブラジル株上昇の背景 |トランプ政権「ドンロー主義」から考える株式投資(5),https://note.com/take832/n/n953dbf914685,313,16,2,
2026-05-08,2026-02-17,「日銀は赤字になったら倒産？」 そもそも倒産とは何か｜日銀が倒産しない理由(2),https://note.com/take832/n/nbbfe08fc6710,312,18,0,
2026-05-08,2026-04-26,【日銀が警鐘】中東・AI・プライベートクレジット——「3つ」を結ぶ「1本の見えない糸,https://note.com/take832/n/n6e5430497045,308,15,0,
2026-05-08,2025-12-04,世界の『不確実性』を一目で見る方法,https://note.com/take832/n/ncd96cbc2d4ab,305,49,1,
2026-05-08,2026-01-26,【日銀モデル+αで読み解く】なぜ日本の10年金利は2％台に？（1）,https://note.com/take832/n/n0f34c626a61e,304,29,0,
2026-05-08,2026-02-03,実は、日本の財政状況は改善しているという話（４）― 時々話題になる純債務残高について,https://note.com/take832/n/n3204d75b0aac,301,17,1,
2026-05-08,2026-02-07,日銀が国債を持つと借金がチャラに？：国債の半分を日銀が持っていることは、財政にとってプラス？(2),https://note.com/take832/n/nf8d25a73ab01,301,19,0,
2026-05-08,2025-12-26,図表で読む植田日銀──賃金と物価はどこまで来たか,https://note.com/take832/n/n1c97f1b557cc,298,32,1,
2026-05-08,2026-02-09,日銀は毎年2000億円を何に使っているか：国債の半分を日銀が持っていることは、財政にとってプラス？(4),https://note.com/take832/n/n025360e32ef2,294,24,0,
2026-05-08,2026-02-25,日本人がラテンアメリアに投資するということは、●●に投資するということ |トランプ政権「ドンロー主義」から考える株式投資(4),https://note.com/take832/n/n37d480c3d1de,292,18,0,
2026-05-08,2025-12-09,逆イールドが発生する２つの原因,https://note.com/take832/n/n0143740a4315,286,16,0,
2026-05-08,2026-02-02,【日銀モデル+αで読み解く】なぜ日本の10年金利は2％台に？（4）,https://note.com/take832/n/na1a89803c065,286,23,0,
2026-05-08,2026-02-02,【QUICK調査】日銀はいつ、何％まで利上げするか,https://note.com/take832/n/nf49040957bd9,285,20,0,
2026-05-08,2026-02-06,国債の半分を日銀が持っていることは、財政にとってプラスか？(1)：まずは現状整理,https://note.com/take832/n/n1c40a3ac4290,284,17,0,
2026-05-08,2026-01-04,投資小説：『波に生きる』(1)…投資では波を読むことが重要という話,https://note.com/take832/n/n74def6302f10,283,21,4,
2026-05-08,2025-12-11,FRB利下げ開始──「あと2回利下げ」が全くあてにならない理由,https://note.com/take832/n/n8c33e9fda1bf,281,25,2,
2026-05-08,2025-12-06,織り込み済の罠：日銀利上げは織り込み済なのに、なぜ長期金利が上昇？,https://note.com/take832/n/n11cbb2614f6e,280,27,1,
2026-05-08,2025-11-24,インフレで景気は良くなるか？,https://note.com/take832/n/n87b2cf899d98,278,97,1,
2026-05-08,2026-01-16,CISさんやテスタさんの投稿をみても投資が上達しないなぁ、と思う人へ(1),https://note.com/take832/n/n983893a5d7da,275,19,0,
2026-05-08,2026-02-22,YCC柔軟化と「おまけ」のガイダンス──2018～2019年、日銀が直面した限界と苦肉の策｜データで追う日銀政策の軌跡 (3),https://note.com/take832/n/nb83401b66c47,274,16,0,
2026-05-08,2026-01-16,投資小説：全財産をS&P500に突っ込んだ僕が、やっと気づいたこと(2),https://note.com/take832/n/n945f33dbf069,270,28,0,
2026-05-08,2026-01-29,【日銀モデル+αで読み解く】なぜ日本の10年金利は2％台に？（2）,https://note.com/take832/n/nc8a2afda8daa,270,24,0,
2026-05-08,2026-01-30,実は、日本の財政状況は改善しているという話（２）― 公債依存度編,https://note.com/take832/n/nbf3422d0d21a,270,23,0,
2026-05-08,2026-01-23,投資小説：全財産をS&P500に突っ込んだ僕が、やっと気づいたこと(9),https://note.com/take832/n/ndea392e524f4,267,25,0,
2026-05-08,2026-02-13,日銀が国債を買うと、お金の量が増える理由：分かりやすい日銀政策(2),https://note.com/take832/n/n88a29bda01b2,261,20,0,
2026-05-08,2026-01-12,アナリストが自分で株を買わない3つの理由,https://note.com/take832/n/nc88139d51f44,258,8,0,
2026-05-08,2026-01-24,1月23日に為替介入があったかどうかをいち早く知る方法,https://note.com/take832/n/na9e17a4335c5,257,8,0,
2026-05-08,2026-01-18,投資小説：全財産をS&P500に突っ込んだ僕が、やっと気づいたこと(4),https://note.com/take832/n/n1a7b93457e3b,256,20,0,
2026-05-08,2026-01-20,金価格が過去最高を更新中。その「本当の理由」を知っていますか？＆今後、GOLDを買うべきかについて,https://note.com/take832/n/n777201c0c845,256,9,0,
2026-05-08,2025-12-08,日本で逆イールドは起きるのか？,https://note.com/take832/n/n831fdea6eab1,255,15,0,
2026-05-08,2026-01-06,株価予想の基礎からサイクル理論まで――成功確率を上げる実践ガイド,https://note.com/take832/n/nc02bca79ea49,251,22,0,
2026-05-08,2025-11-22,レバレッジはNGか？株・FXと不動産の違い,https://note.com/take832/n/ne8f88117aaa7,249,23,0,
2026-05-08,2025-12-17,金利上昇で銀行株が上昇する本当の理由(2)…日銀預金,https://note.com/take832/n/nf4bea78e1e64,247,28,0,
2026-05-08,2026-01-11,投資小説：『波に生きる』(8)…見えない波、感じる羅針盤,https://note.com/take832/n/n3c1dc1cffb91,245,17,1,
2026-05-08,2025-12-19,金利上昇で銀行株が上昇する本当の理由(3)…長期金利が上がっても、銀行は儲からない。それでも銀行株が上がる理由,https://note.com/take832/n/n3dc519673a57,244,26,1,
2026-05-08,2026-01-06,「ゴールドマン、円は1ドル＝100円に回帰へ」から考える、フォワード為替の使い方,https://note.com/take832/n/ne18fca97bc9a,244,17,0,
2026-05-08,2026-01-06,一部無料：サイクル理論—2026年、米10年金利は一旦低下──今「買うべき資産」はこれだ,https://note.com/take832/n/n2714851d1c65,242,8,0,
2026-05-08,2026-01-17,投資小説：全財産をS&P500に突っ込んだ僕が、やっと気づいたこと(3),https://note.com/take832/n/n0b7c975ca93e,240,20,0,
2026-05-08,2025-12-22,日経平均はなぜ「最も予想が難しい株価」なのか,https://note.com/take832/n/n7b05400743b2,239,22,1,
2026-05-08,2025-12-03,OECD景気先行指数を使って株価を予想する方法,https://note.com/take832/n/n3403bc271673,238,13,0,
2026-05-08,2025-12-27,国債発行計画は年末最大のヒント｜2026年の金利をどう読むか,https://note.com/take832/n/n4a764cf089b7,238,20,0,
2026-05-08,2026-01-31,【日銀モデル+αで読み解く】なぜ日本の10年金利は2％台に？（3）,https://note.com/take832/n/n9bdfd45aeb3f,236,17,0,
2026-05-08,2025-12-16,金利上昇で銀行株が上昇する本当の理由(1)…預金追随率,https://note.com/take832/n/n670e9f7d076e,227,25,0,
2026-05-08,2026-01-02,2026年はどの日本株に投資すべきか：OECDレポートから考える,https://note.com/take832/n/nbc0c70f1c70d,225,31,1,
2026-05-08,2025-10-17,「個別株よりオルカンが安全」と言われる本当の理由をわかりやすく解説,https://note.com/take832/n/n7df16ea63ac0,223,78,0,
2026-05-08,2026-01-23,日銀展望レポート(26年1月)：日銀は利上げに対してより前向きに,https://note.com/take832/n/nfbd7579250cd,223,15,0,
2026-05-08,2025-10-23,【天才の戦略？？】ブル、ベアファンドの両建てで、株高でも株安でも勝てる？,https://note.com/take832/n/na06134cef2ba,219,4,0,
2026-05-08,2025-12-26,賃金を上げたいのに、なぜ日銀は利上げするのか,https://note.com/take832/n/nd0f29febc99f,218,22,0,
2026-05-08,2025-11-18,株に全振りしてはいけない2つの理由,https://note.com/take832/n/n80a8213e4610,216,27,2,
2026-05-08,2025-11-27,実は全然違う、アパート投資とREIT(リート),https://note.com/take832/n/n760a310a6ac8,215,18,0,
2026-05-08,2026-01-16,日経平均は6万円突破か、調整入りか？2026年の日本株を読み解く3つの視点,https://note.com/take832/n/n1b7e5c19ce17,215,6,0,
2026-05-08,2026-01-22,投資小説：全財産をS&P500に突っ込んだ僕が、やっと気づいたこと(8),https://note.com/take832/n/nda9ef0d4a4be,210,13,0,
2026-05-08,2026-01-14,ドル円は160円超えへ─ファンダ、市場予想、サイクルを踏まえた相場予想,https://note.com/take832/n/n51d2886688a4,209,12,0,
2026-05-08,2026-01-22,日本発の世界的金利ショックは起こるのか？,https://note.com/take832/n/n3e826c2a52e7,209,6,0,
2026-05-08,2025-12-01,いつ円安は修正されるか？過去の米利下げ期と今回の違い,https://note.com/take832/n/nfe7254053960,207,16,2,
2026-05-08,2026-05-08,【銀行員・証券マン必見】UAEがOPECを離脱した本当の理由——3層構造で読み解く,https://note.com/take832/n/n70a5e6e92764,205,12,0,
2026-05-08,2025-12-25,難しい分析は不要！巨大ファンドの動きに乗る『コバンザメ投資術』入門,https://note.com/take832/n/nc80d7c29b99f,204,23,3,
2026-05-08,2026-01-16,ベージュブック2026年1月版：米経済は改善基調へ、勝ち組セクターと投資戦略,https://note.com/take832/n/n1775a02df633,204,8,0,
2026-05-08,2025-12-20,日経平均が「10万円」に到達するシンプルな計算方法,https://note.com/take832/n/n61bb268ac1ab,203,24,0,
2026-05-08,2026-01-03,2026年はどの米国株に投資すべきか：OECDレポートから考える,https://note.com/take832/n/n5b299520457d,203,19,0,
2026-05-08,2026-01-05,投資小説：『波に生きる』(2)…「膨らんだのは、パンか欲か」,https://note.com/take832/n/n6f9348868d17,203,16,0,
2026-05-08,2026-01-23,日銀は政策を変更するか？実は、結果公表時刻がヒント。,https://note.com/take832/n/n38a4e0941d8f,203,16,0,
2026-05-08,2026-01-21,【2025年は絶好調】J-REIT投資、どこを見ればリターンが狙えるのか？,https://note.com/take832/n/ne7cd367c3d9a,202,7,0,
2026-05-08,2026-01-12,投資小説：『波に生きる』(9)…波を超えて,https://note.com/take832/n/n682ed8cc69fc,201,11,0,
2026-05-08,2026-01-10,投資小説：『波に生きる』(7)…陶酔から絶望へ ― 投資家の心模様,https://note.com/take832/n/n9ff04429d54a,197,18,0,
2026-05-08,2026-01-21,投資小説：全財産をS&P500に突っ込んだ僕が、やっと気づいたこと(7),https://note.com/take832/n/n05b6565356ff,196,21,1,
2026-05-08,2026-01-09,投資小説：『波に生きる』(6)…交差する波が描く、株のゆらぎ,https://note.com/take832/n/n991d47598777,193,13,0,
2026-05-08,2026-01-19,投資小説：全財産をS&P500に突っ込んだ僕が、やっと気づいたこと(5),https://note.com/take832/n/nb7814773593a,191,17,0,
2026-05-08,2025-11-21,円が弱いのか、ドルが強いのか：ドルインデックスで確認,https://note.com/take832/n/n1f0c88d90ef1,190,12,0,
2026-05-08,2026-03-20,日銀利上げを左右する2つのポイント：原油100ドルと円安160円|植田総裁発言はポジショントーク（円安けん制）なのか？,https://note.com/take832/n/n71a2f482acd7,188,7,0,
2026-05-08,2026-01-09,「2026年の米株は買い？売り？」サイクル理論で読む米株の未来,https://note.com/take832/n/nb3776ce72fb0,186,8,0,
2026-05-08,2026-01-08,一部無料：2032年までの原油価格を先読み！プロが教えるサイクル理論と勝てる投資先,https://note.com/take832/n/n3ab2c806d7ac,182,13,0,
2026-05-08,2025-12-24,投資家センチメントから考える2026年の株式市場,https://note.com/take832/n/n8b9a3fae393b,179,18,0,
2026-05-08,2026-01-13,投資小説：『波に生きる』最終章(10)…サイクルを味方に,https://note.com/take832/n/nd8e9bb459810,179,17,0,
2026-05-08,2025-11-28,各国の政策金利はコロナ前には戻らない…つまり円安は続きそう,https://note.com/take832/n/n62448550ba7e,173,16,2,
2026-05-08,2025-11-26,レイ・ダリオ氏、マルチストラテジー型のファンドに警鐘…そもそもマルチストラテジーって何でしょう？,https://note.com/take832/n/n5db39304b2c3,168,12,0,
